Abisara attenuata;"Arunachal Pradesh, India, Changlang District, Namdapha NP, Deban"
Graphium sarpedon;"Balpakram NP, South Garo Hills District, Hoollongapar Gibbon Sanctuary, Changlang District, Jayanti, Deban, Umroi, Baghmara RF, Karwani, Buxa TR, Ri Bhoi District, Paschimbanga, Bongaigaon District, Alipurduar District, Assam, Namdapha NP, India, Sankarghola, Anamika Falls, Dibru Saikhowa NP, Jorhat District, Tinsukia District, Meghalaya, Arunachal Pradesh"
Graphium teredon;"Matheran, Coimbatore District, Brahmagiri WLS, Near Bio Veda Retreat, Yana, Agalahatti, Munnar, Kerala, Sakleshpur, Makutta, Kudremukh NP, Sanjay Gandhi NP, Nandi Hills, Karnataka, Indira Gandhi NP, Sirsi, Parambikkulam WLS, Chikkaballapur District, Udupi District, Kudlu Teertha, Ratnagiri District, Palakkad District, Nagla Block, Idukki District, Tamil Nadu, Raigad District, Kodagu District, Sindhudurg District, Uttara Kannada District, Kakkadampoyil, Chennai District, Dakshina Kannada District, Thiruvananthapuram  District, Thane District, Bengaluru Urban District, Chikkamagaluru District, Hanging Gardens, Anamudi Shola NP, India, Malabar Hills, Kallikad, Indiranagar, Mumbai City District, Beluvai, Maharashtra, Amboli, Pampadum Shola NP, Kozhikode District, Hassan District, J.P. Nagar RF, Kumbharli Ghat, Chiplun, Mangalore Taluk, Tungareshwar WLS, Sammilan Shetty's Butterfly Park"
Graphium xenocles;"Panda, Intanki NP, Peren District, Pakke TR, South Garo Hills District, Alipurduar District, Darjeeling District, Buxa TR, Nagaland, Meghalaya, Khadi (Khari), Siju WLS, Suntale Khola, East Kameng District, Paschimbanga, Samsing, Arunachal Pradesh, India, Jayanti"
Halpe filda;"Sikkim, Lower Mukrung, Rangli, Kalej Khola, East Sikkim District, West Sikkim District, Namdapha NP, Arunachal Pradesh, India, Changlang District, Deban"
Halpe hindu;"Perambra, Biligiriranga Hills, Chamrajnagar District, Kerala, Thenmala, Karnataka, Krishnagiri District, Wayanad WLS, Sindhudurg District, Tamil Nadu, Idukki District, Gullatty RF, Neerchal, Periyar TR, India, Thekkady, Maharashtra, Amboli, Kozhikode District, Wayanad District, Kasaragod District, Kollam District"
Halpe porus;"Perambra, Palsambe, Kakkavayal, Dimapur District, Trishna WLS, South Goa District, Chamrajnagar District, Kerala, Thiruvananthapuram, Hoollongapar Gibbon Sanctuary, Hooghly District, Gaganbavda, Jayanti, Camp Geedee, Tamhanmala, Sanjay Gandhi NP, Ragihalli, Tripura, Karnataka, Mandya District, Buxa TR, Aizawl District, Cotigao WLS, Krishnagiri District, Tongkolong WLS, Mara Autonomous District, Ratnagiri District, Paschimbanga, Dimapur, Nagla Block, Nagaland, Tamil Nadu, Gullatty RF, South Tripura District, Tlawang River, Sindhudurg District, Hesaraghatta Lake, Biodiversity Park, Thiruvananthapuram  District, Alipurduar District, Goa, Thane District, Assam, Bengaluru Urban District, Biligiri Rangaswamy Temple WLS, Mumbai Suburban District, India, Yeoor, Mizoram, East Khasi Hills District, Maharashtra, Jorhat District, Kolhapur District, Amboli, Watch Tower No. 2 At Joychandarpur, Kozhikode District, Cherrapunjee, Meghalaya, J.P. Nagar RF, Ranganthittu Bird Sanctuary, Diara"
Halpe sikkima;"Anamika Falls, Baghmara RF, Karwani, South Garo Hills District, Meghalaya, Namdapha NP, Arunachal Pradesh, India, Changlang District"
Halpe zema;"Balpakram NP, South Garo Hills District, Pakke Kesang, Elephant Conservation Reserve, Darjeeling District, Changlang District, Deban, Baghmara RF, Karwani, Sikkim, Pakke TR, Dibrugarh District, Paschimbanga, Chitrey, Digboi, Assam, Gongrot, Namdapha NP, Geyzing, India, Jeypore RF, Tinsukia District, Meghalaya, East Kameng District, West Sikkim District, Arunachal Pradesh, Teesta River Bank"
Hasora anura;"Mizoram, Pange, West Kameng District, Deban, Lower Subansiri District, Ngengpui WLS, Namdapha NP, Eaglenest WLS, Champhai District, Arunachal Pradesh, India, Lama Camp, Changlang District"
Hasora badra;"Kottayam District, IIT Bombay, South Garo Hills District, Dimapur District, Kerala, Kurul, North Sikkim District, Alibag Taluka, Kamrup District, Sanjay Gandhi NP, Sikkim, Namprikdang, Pakke TR, Ultapani, Buxa TR, Bhitarkanika NP, Khadi (Khari), Valope, Ratnagiri District, Paschimbanga, Dimapur, Raigad District, Nagaland, Nagla Block, Dzongu, Kendrapara District, Maharashtra Nature Park, Odisha, Bhandup Pumping Station, Aakkulam, Thiruvananthapuram  District, Alipurduar District, Assam, Thane District, Mankavu, Kumarakom, Siju WLS, Mumbai Suburban District, Rani, India, Cheliya, Powai, Mumbai City District, Langka, Maharashtra, Kozhikode District, Meghalaya, Chiplun, Dombivli, East Kameng District, Arunachal Pradesh, Veer Waterfalls, Kokrajhar District"
Hasora chromus;"Matheran, IIT Bombay, Barbara Beat, Perambra, MSR City, Coimbatore District, Bankura District, Gandhinagar, Turahalli RF, Pashan, Mysore District, Bhopar Village, National Centre for Biological Sciences (NCBS), Gujarat, Kerala, Hoollongapar Gibbon Sanctuary, Changlang District, Kasu Brahmananda Reddy (KBR) NP, Satara, Deban, Gandhinagar District, Dodda Kammanahalli, Kamalpur, Karnataka, Hyderabad Urban District, Jayalakshmipuram, Medak District, Ratnagiri District, Paschimbanga, Balgaon Range, Idukki District, Tamil Nadu, Raigad District, Coimbatore, Madivala Lake, Maharashtra Nature Park, Odisha, Sivasagar, Nallamala TRF, Chennai District, Begur Hobli, GKVK, Polo Forest, Jarkabandi SF, Vivekananda Park, Pune District, Thane District, Assam, Bengaluru Urban District, Namdapha NP, Mahbubnagar District, Mumbai Suburban District, Hanging Gardens, India, Periyar TR, Telangana, Girinagar, Malabar Hills, Powai, Mumbai City District, Indiranagar, Pune, Panshet, Maharashtra, Satara District, Jorhat District, Saleshwaram, Jalahalli, Vellimala, Kozhikode District, J.P. Nagar RF, Chiplun, Dombivli, Narsapur Forest, Sabar Kantha District, Tungareshwar WLS, Arunachal Pradesh, Tamil Nadu Agricultural University, Sivasagar District, Khordha District, Mysore City"
Hasora khoda;"Champhai District, Mizoram, India, Ngengpui WLS"
Hasora leucospila;"Odisha, India, Barbara Beat, Khordha District, Balgaon Range"
Hasora taminatus;"Kakkayam, Shendurney WLS, Iruppu Falls, Kerala, Havelock Islands, Changlang District, Deban, South Andaman District, Near Ferrargunj, Karnataka, Buxa TR, Guindy NP, Rosemala, Kurichiar Mala, Paschimbanga, Sindhudurg District, Tamil Nadu, Kodagu District, Chidiya Tapu, Chennai District, Alipurduar District, Namdapha NP, Mount Harriet NP, India, Maharashtra, Amboli, Kozhikode District, Wayanad District, Arunachal Pradesh, Kollam District, Andaman and Nicobar Islands"
Hasora vitta;"Kandhamal District, Raikia range, Gujarat, Sakleshpur, Satara, Sanjay Gandhi NP, Pakke TR, Karnataka, Khadi (Khari), Nagla Block, Mundasaru, Odisha, Vansda NP, Thane District, Hanging Gardens, India, Malabar Hills, Mumbai City District, Purna WLS, Maharashtra, Satara District, Hassan District, Navsari District, East Kameng District, Arunachal Pradesh, Dang District"
Hebomoia glaucippe;"Manas NP, Siddheshwar Hills, South Garo Hills District, Cauvery WLS, Baratang, Kerala, Changlang District, Whitefield, Kamrup District, Haveri District, Mandya District, Baksa District, Paschimbanga, Pathanamthitta District, Bengaluru Urban District, Cooch Behar, Hanging Gardens, Malabar Hills, Burnihat, Amboli, East Kameng District, Andaman and Nicobar Islands, Byadgi Taluk, IIT Bombay, Balpakram NP, West Kameng District, Dimapur District, Hoollongapar Gibbon Sanctuary, Galibore Fishing Camp, Baghmara RF, Savandurga SF, Pakke TR, Cooch Behar District, Piphema (near Pherima), Idukki District, Alappuzha District, Hesaraghatta Lake, Madayi Para, North and Middle Andaman District, Mararikkulam, Assam, 22nd Mile, Geyzing, Sabarimala, India, Channasandra, Valley School, Jorhat District, Meghalaya, Eaglenest WLS, Arunachal Pradesh, Bengaluru  Rural District, Sanjay Gandhi NP, Karnataka, Chinnar WLS, Maharashtra Nature Park, CASFOS campus, Namdapha NP, Periyar TR, Yeoor, Mumbai City District, Maharashtra, Kannur  District, Kadaramandalagi, Kozhikode District, Srirangapatna Taluka, Vilangad, Hosahally, Alibag Taluka, Deban, Karwani, Sikkim, Dibrugarh District, Pamba, Raigad District, Nagaland, Sindhudurg District, Thal, Thane District, Siju WLS, Mumbai Suburban District, Powai, Magadi Taluk, West Sikkim District, Jokai Reserve Forest, Om Shanthidhama"
Hebomoia roepstorfii;"North Wandoor, South Andaman District, Kanaiderra RF, Near Ferrargunj, India, Andaman and Nicobar Islands"
Helcyra hemina;"India, Alipurduar District, Buxa TR, Paschimbanga"
Heliophorus brahma;"Near Yuksam, Lower Mukrung, Rangli, North Sikkim District, Darjeeling District, Uttarakhand, Sikkim, Namprikdang, Gangtok, Pithoragarh District, East Sikkim District, Paschimbanga, Dzongu, Nagaland, Upper Dzongu, Kohima District, Pithoragarh, Namgyal Institute of Tibetology Garden, Kalej Khola, Sillery Gaon, Purul, India, Tingvong-Lingzya, Manipur, Darjeeling, Senapati District, West Sikkim District, Tingvong, Khonoma"
Heliophorus epicles;"Manas NP, Lower Dibang Valley District, Balpakram NP, South Garo Hills District, Dimapur District, Miao, Lunglei, Rangli, Tiger Falls, Borojan RF, Elephant Conservation Reserve, Hoollongapar Gibbon Sanctuary, Changlang District, Tura Peak, Jayanti, West Garo Hills District, Uttarakhand, Deban, North Sikkim District, Dehradun District, Chakrata, Sikkim, Tripura, Kamrup District, Lunglei District, Pakke TR, Senapati, Buxa TR, Baksa District, East Sikkim District, Dimapur, Paschimbanga, Dibrugarh District, Jampui Hills, Bongaigaon District, Nagaland, Upper Dzongu, Suntale Khola, Reshi Khola, Aithan Dighola Gaon, Soraipung RF, Nainital District, North Tripura District, Barpeta District, Alipurduar District, Digboi, CASFOS campus, Assam, Pedong, Gongrot, Namdapha NP, India, Tingvong-Lingzya, Miao-Deban Road, Manipur, Rajabhatkhawa, Mizoram, Senapati District, East Khasi Hills District, Pygmy Hog Research And Breeding Centre, Bongaigaon, Burnihat, Jorhat District, Darjeeling District, Kokrajhar, Jeypore RF, Tinsukia District, Roing, Cherrapunjee, Meghalaya, Nainital, Mawkisyiem, Dhuna Nala, East Kameng District, Jeypore-Dehing , Arunachal Pradesh, Kokrajhar District"
Heliophorus hybrida;"Nagaland, Kohima District, India, Khonoma"
Heliophorus indicus;"Khellong, Sikkim, West Kameng District, Pakke TR, Pakke Kesang, Deban, Lama Camp, North Sikkim District, Upper Siang District, East Kameng District, Eaglenest WLS, Mouling NP, Arunachal Pradesh, India, Upper Dzongu, Namdapha NP, Tingvong-Lingzya, Changlang District"
Heliophorus kohimensis;"Kohima District, Phek District, Panikheti, Near Shatuza Village, India, Dzulekie, Nagaland, Khonoma"
Heliophorus moorei;"Didihat, Chizami, West Kameng District, Dzulekie, Dzukou valley, Uttarakhand, Ramaling, Dehradun District, Chakrata, Phek District, via Viswema, Pithoragarh District, Nagaland, Phuba, Kohima District, Purul, India, Khoya Chhani, Loharkhet, Manipur, Senapati District, Benog WLS, Bageshwar District, Eaglenest WLS, Arunachal Pradesh, Lama Camp, Khonoma"
Heliophorus oda;"Bhimtal, Kilbury Divison, Nainital District, Uttarkashi District, Osla Village, Govind Pashu NP, India, Uttarakhand, Pangot"
Heliophorus sena;"Srinagar-Jammu Highway, Datyar, Rajpur, Himalayan Botanical Garden, Kathayat Bara Village, Mandi District, West Kameng District, Jammu and Kashmir, Srinagar, Sundar Nagar, Kangra District, Dehradun, Ghingharutola Village, Kanoh, Tiger Falls, Rudraprayag District, Shimla District, Tenga Valley, Shikhar Falls, Gagal, Kullu District, Uttarakhand, Dehradun District, Chakrata, Lungshu Nala, Himachal Pradesh, Dharamsala Suburb, Chenani, Srinagar District, Tehri Garhwal District, Manali, Mcleod Ganj, Nainital District, Udhampur District, Fairy Hall Forest Compound, Devalsari, Solan District, Shankaracharya Temple Road, Triund Hill, Char Dukan, India, Shimla, Bhimtal, Landour, Rudraprayag, Bageshwar District, Nainital, Anantnag (Kashmir South) District, Eaglenest WLS, Arunachal Pradesh, Bilaspur District, Pahalgam"
Heliophorus tamu;"Lower Dibang Valley District, Singalila NP, West Kameng District, Bomphu to Hathi nala, Darjeeling District, Lama Camp, Mehao Lake, Paschimbanga, Arunachal Pradesh, India, Eaglenest WLS, Mehao WLS"
Herona marathus;"South Sikkim District, Changlang District, Tura Peak, Jayanti, West Garo Hills District, Deban, Sikkim, Ultapani, Lime caves, Buxa TR, Paschimbanga, Sonitpur District, Kewzing, Nameri NP, Baratang Island, North and Middle Andaman District, Alipurduar District, Assam, Namdapha NP, India, Rajabhatkhawa, East Khasi Hills District, Cherrapunjee, Meghalaya, Mawkisyiem, Kokrajhar District, Arunachal Pradesh, Andaman and Nicobar Islands"
Hesperia comma;"Himachal Pradesh, India, Pin Valley NP, Lahaul and Spiti District"
Hestina persimilis;"Dehradun District, Phek District, Panikheti, Nainital District, Near Shatuza Village, India, Wildlife Institute Of India, Nainital, Nagaland, Uttarakhand"
Hestinalis nama;"Haldibari, Dehing Patkai WLS, Panikheti, Near Shatuza Village, Lower Mukrung, Lunglei, North Sikkim District, Darjeeling District, Changlang District, Central zone, Deban, Lunglei District, Sikkim, Phek District, Buxa TR, Rishop, Tingvong, Punakha District, Paschimbanga, Nagaland, Upper Dzongu, Alipurduar District, Maram, Assam, Namdapha NP, Geyzing, India, Tingvong-Lingzya, Manipur, Mizoram, Senapati District, Shathiiya, Tinsukia District, Namprikdang Rest House, West Sikkim District, Jigme Dorji National Park, Arunachal Pradesh, Bhutan"
Hidari bhawani;"Sivasagar, Hoollongapar Gibbon Sanctuary, India, Jorhat District, Assam, Taungoo, Myanmar, Sivasagar District, Bago Region"
Horaga onyx;"Rasamati RF, Chandigarh, Babupara, South Garo Hills District, Dimapur District, Bhagwan Mahaveer WLS, South Goa District, Sarangpur, Kerala, Chamrajnagar District, Hoollongapar Gibbon Sanctuary, Coonoor, Uttarakhand, Halgeri, Dehradun District, Baghmara RF, Karnataka, Cooch Behar District, Wildlife Institute Of India, Dibrugarh District, Dimapur, Jalpaiguri District, Paschimbanga, Wayanad WLS, Nagaland, Tamil Nadu, Sonitpur District, Sindhudurg District, Alipurduar Junction, Uttara Kannada District, Dhekiajuli, Patlakhawa, Jopora Gaon, Alipurduar District, Goa, Siddapur, Assam, Nilgiri District, Chandigarh Botanical Garden, Biligiri Rangaswamy Temple WLS, India, Maharashtra, Jorhat District, Chandigarh District, Amboli, Kannur  District, Iritty, Wayanad District, Meghalaya, Chilapata WLS"
Horaga viola;"Dehradun District, Paschimbanga, Babupara, Kannapuram, Kannur  District, Wildlife Institute Of India, Kerala, Jalpaiguri District, Jalpaiguri, India, Uttarakhand"
Hyarotis adrastus;"Kottayam District, Sriharikota, Baidyabati, Dimapur District, Jaguli, Forest Research Institute, Mipu Lung Puk, Nadia District, Kerala, Lunkai Nullah, Hoollongapar Gibbon Sanctuary, Changlang District, Shivamogga District, Darjeeling District, Uttarakhand, Deban, Sukna, Howrah District, Dehradun District, Hooghly District, South Andaman District, Port Blair, ANET, Karnataka, Buxa TR, Mara Autonomous District, Dimapur, Paschimbanga, Sindhudurg District, Nagaland, Brookshabad, Jog Falls, Alipurduar District, Little Andamans, Assam, Kumarakom, Namdapha NP, Mahananda WLS, Domjur, India, North Wandoor, Mizoram, Andhra Pradesh, Maharashtra, Jorhat District, Nellore District, Amboli, Lungpuk, Near Corbyn's Cove Beach, DVC Canal, Arunachal Pradesh, Andaman and Nicobar Islands"
Hyarotis coorga;"Karnataka, India, Kodagu District"
Hyarotis microstictum;"South Garo Hills District, India, Matcha Nokpante Community Reserve, Meghalaya, Baghmara"
Hypolimnas anomala;"Nicobar District, Great Nicobar Island, India, Andaman and Nicobar Islands, Campbell Bay"
Hypolimnas bolina;"Honey Valley, Devgad, Campbell Bay, South Garo Hills District, Kerala, Kailasagiri, Tirunelveli District, Changlang District, Shivamogga District, Dodda Kammanahalli, Horsley Hills, Tamhanmala, Haveri District, Dimapur, Paschimbanga, Tamil Nadu, East Godavari District, Jigani, Gadchiroli District, Chhattisgarh, Lucknow, Soraipung RF, Osmania University, Nalgonda District, Bengaluru Urban District, Nakachari, Hanging Gardens, Raipur District, Songaon, Malabar Hills, Cherlapally, Lingambudhi Lake, Andhra Pradesh, Thrissur District, Pune, Great Nicobar Island, Amboli, Chandrapur District, Chiplun, Kawal Wildlife Sanctuary, Dombivli, Andaman and Nicobar Islands, Byadgi Taluk, Matheran, IIT Bombay, Nagadera Gaon, Balpakram NP, Kathayat Bara Village, Dimapur District, Mysore District, Dhanora, Phansad WLS, Hoollongapar Gibbon Sanctuary, Dehradun District, Karnala Bird Sanctuary, Baghmara RF, Tripura, Saalugudda Homestay, Hyderabad Urban District, Nagla Block, Biotechnology Centre Campus, Near Satpool, Courtallam, Madivala Lake, Rajkot City, Vishakhapatnam District, Pandit Deendayal Petroleum University, Begur Hobli, Dakshina Kannada District, Pune District, Assam, Gadchiroli, India, Maredumilli, Telangana, Eco-Park Near Five Falls, Mizoram, Uttar Pradesh, Jorhat District, Nicobar District, Bageshwar District, Lungpuk, Meghalaya, Prashanti Kutiram, Kumbharli Ghat, Surat District, Alibag, Arunachal Pradesh, Sammilan Shetty's Butterfly Park, Bhopal, Hulimavu, Kolkata District, Near Kolar Village, Bhopal District, Kudremukh NP, Sanjay Gandhi NP, Pakhal, Karnataka, Rampally Lake, Sirsi, Rajkot District, Ratnagiri District, Kodagu District, Bhesan, Maharashtra Nature Park, Peruvannamoozhi, Agumbe Rainforest Research Station, Namdapha NP, Chikkamagaluru District, Adyanpara Waterfalls, Warangal District, Durgapur, Mumbai City District, Maharashtra, Mendha Village, Kannur  District, SGPGI, Tinsukia District, Bhowanipur, Kadaramandalagi, Hassan District, J.P. Nagar RF, Kozhikode District, Narsapur Forest, Kanakeshwar, Mangalore Taluk, Kokrajhar District, Nilambur, Sonatala, Pashan, Gujarat, Chakrashila WLS, Kasu Brahmananda Reddy (KBR) NP, Uttarakhand, Gandhinagar District, Kolkata, Chakrata, Lucknow District, Vengurla, Brahmapuri, Mara Autonomous District, Malappuram District, Medak District, Raigad District, Nagaland, Sindhudurg District, Uttara Kannada District, Cheruthuruthy, Chittoor District, Adilabad District, SGPGI campus, Madhya Pradesh, Thane District, Siju WLS, Serenity Library, New Campus, Mumbai Suburban District, Bardhaman District, Powai, Beluvai, Aralam WLS, Khowai District, Tungareshwar WLS, Mysore City"
Hypolimnas misippus;"Killikulam, Devgad, Savkheda, Kerala, Whitefield, Dodda Kammanahalli, Santhanpara, Horsley Hills, Tamhanmala, South Campus, Haveri District, Buxa TR, Meenmutty Falls, Paschimbanga, Silvassa, Tamil Nadu, East Godavari District, Jigani, Chhattisgarh, Osmania University, Nalgonda District, Bangoli Dam, Rajappara, Bengaluru Urban District, Hanging Gardens, Cherlapally, Songaon, Malabar Hills, Raipur District, Thattekad, Mysore city, Andhra Pradesh, Pune, Amboli, Manglore, Dangs, Chiplun, Dombivli, University Of Hyderabad, Byadgi Taluk, Salim Ali Bird Sanctuary, Matheran, Turahalli RF, Mysore District, Phansad WLS, Jayanti, Savandurga SF, Kanaka Ecological Park (KDA), Hyderabad Urban District, Sanjeevaiah Park, Pocharam Wildlife Sanctuary, Nagla Block, Idukki District, Vishakhapatnam District, Begur Hobli, Dakshina Kannada District, Thiruvananthapuram  District, Pune District, Vanasthali Deer Park, India, Channasandra, Telangana, Maredumilli, Kolhapur District, Chandaipeta village, Ujlaiwadi, Prashanti Kutiram, Kumbharli Ghat, Surat District, Alibag, Simhachalam, Tiruvanamala District, Kolhapur Airport, Bengaluru  Rural District, Pocharam Village, Achanakmar WLS, Sanjay Gandhi NP, Vithura, Karnataka, Dadra & Nagar Haveli, Hotel Ashok Hassan, Hassan, Rajkot District, Kaginele Byadgi Taluk, Ratnagiri District, Kodagu District, Toothukudi District, Bhesan, Maharashtra Nature Park, Mudasarlova, Alipurduar District, Agricultural College & Research Institute, Tiruppur, Yeoor, Rangareddi District, Mumbai City District, Maharashtra, Jalgaon District, Kadaramandalagi, Hassan District, J.P. Nagar RF, Narsapur Forest, Kanakeshwar, Kutta, Pashan, Dadra and Nagar Haveli District, Gujarat, Chopda, Chhaparva FRH, Ernakulam District, Yapral, Circuit House, Tirupur District, Medak District, Raigad District, Sindhudurg District, Uttara Kannada District, Chittoor District, Nimkhedi Road, Thane District, Gokarna, Hadmatiya, Ramana Nagar, Bhimashankar WLS, Near Rajkot, Magadi Taluk, Mamurabadroad, Kadri Hills, Lalbagh Botanical Gardens, Bilaspur District, Dang District"
Hypolycaena erylus;"Manas NP, Aizwal-Reiek Road, Balpakram NP, South Garo Hills District, Miao, Lunglei, Trishna WLS, Khowai, Hoollongapar Gibbon Sanctuary, Changlang District, Jayanti, Nongriat, Deban, South Andaman District, Baghmara RF, Karwani, Kamrup District, Tripura, Ultapani, Lunglei District, Pakke TR, Buxa TR, Cooch Behar District, Aizawl District, Vaipuanpho Camp, Baksa District, Mara Autonomous District, South Tripura District, Paschimbanga, Dibrugarh District, Tongkolong WLS, Rasik Bill, Sivasagar, 19th Mile, Aithan Dighola Gaon, Soraipung RF, Alipurduar District, Assam, West Singhichara, Siju WLS, Gongrot, Namdapha NP, Tufan Ganj, Mount Harriet NP, India, Rani, Karigaon, near new Rest House, Mizoram, East Khasi Hills District, Jorhat District, Jeypore RF, Tinsukia District, Dhuna Nala, Meghalaya, Khowai District, East Kameng District, Joychandarpur, Kokrajhar District, Arunachal Pradesh, Sivasagar District, Andaman and Nicobar Islands"
Hypolycaena kina;"Didihat, West Kameng District, Dzulekie, Ziro, Lunkai Nullah, North Sikkim District, Central zone, Changlang District, Tura Peak, West Garo Hills District, Uttarakhand, Deban, Sikkim, Lower Subansiri District, Pasingdang, Pithoragarh District, Tingvong, Sessni, Punakha District, Dzongu, Nagaland, Upper Dzongu, Phuba, Kohima District, 19th Mile, Sessa Orchid Sanctuary, Talley WLS, Namdapha NP, 22nd Mile, India, Manipur, Senapati District, Anamika Falls, East Khasi Hills District, Mawkisyiem, Meghalaya, Cherrapunjee, Jigme Dorji National Park, Eaglenest WLS, Arunachal Pradesh, Bhutan, Ring Khola"
Hypolycaena narada;"Near Bodhisatta, 20th Mile, Chidiapung, 17th Mile, 22nd Mile, Namdapha NP, Arunachal Pradesh, India, Changlang District, Lunkai Nullah, Deban"
Hypolycaena nilgirica;"Anamalais, Coimbatore District, Indira Gandhi NP, Chinnar WLS, Tamil Nadu, Kerala, Virudhunagar District, Idukki District, India, Top Slip, Ayyanar Falls"
Hypolycaena othona;"Haldibari, South Garo Hills District, Biligiriranga Hills, Chamrajnagar District, Kerala, Lunkai Nullah, Thommankuthu, Hoollongapar Gibbon Sanctuary, Changlang District, Tura Peak, Jayanti, West Garo Hills District, Deban, Uttarakhand, Shivamogga District, Baghmara RF, Karwani, Sanjay Gandhi NP, Agumbe Valley, Ultapani, Pelhar Dam, Pakke TR, Karnataka, Buxa TR, Ratnagiri District, Paschimbanga, Wayanad WLS, Idukki District, Balgaon Range, Sindhudurg District, Kodagu District, East Godavari District, Odisha, Nainital District, Thiruvananthapuram  District, Alipurduar District, Hiranyakeshi, Thane District, Assam, Siju WLS, Ovalekar Wadi Butterfly Park, Namdapha NP, India, Maredumilli, Sai Sanctuary, Yeoor, Andhra Pradesh, Dhuanali Beat, Vazpaithiyar, Maharashtra, Satara District, Jorhat District, Amboli, Wayanad District, Meghalaya, Nainital, Chilapata WLS, Thoseghar, East Kameng District, Vasai, Tungareshwar WLS, Arunachal Pradesh, Chiplun, Peppara WLS, Kokrajhar District, Khordha District"
Hyponephele davendra;"Himachal Pradesh, India, Pin Valley NP, Lahaul and Spiti District"
Hyponephele pulchra;"Himachal Pradesh, India, Pin Valley NP, Lahaul and Spiti District"
Iambrix salsala;"Bandipur TR, Honey Valley, Lovale, South Garo Hills District, Krishna Raja Puram Lake, National Centre for Biological Sciences (NCBS), Kerala, Thiruvananthapuram, North 24 Parganas District, Hijuli Forest, Indian Institute of Science (IISc) Campus, Lunglei District, Tamhanmala, Chintamani Kar Bird Sanctuary, Bhagamandala, Buxa TR, Dimapur, Paschimbanga, Jalpaiguri District, Tamil Nadu, East Godavari District, Mudumalai NP, Goa, Bengaluru Urban District, Kakkur, Vaniyambalam, Andhra Pradesh, Amboli, Chiplun, East Kameng District, Madhuvana Estate, Gopalaswamy Betta, Kollam District, Glenburn Forest, Matheran, IIT Bombay, Madikeri, Balpakram NP, Bankura District, Dimapur District, Agalahatti, Hoollongapar Gibbon Sanctuary, Makutta, Chavara South, Baghmara RF, Tripura, Pakke TR, Bondla WLS, Lavasa, Phansad WLS (Supegaon End), Mulund (west), Nagla Block, Dakshina Kannada District, Thiruvananthapuram  District, Yelagiri Hills, Devala, Pune District, Assam, Gongrot, India, Maredumilli, Mizoram, Karle Home Stay, Panshet, Valley School, Swamimalai, Jorhat District, Kolhapur District, Meghalaya, Kumbharli Ghat, Arunachal Pradesh, Sammilan Shetty's Butterfly Park, Malleshwaram, Akshi Beach, Nadia District, Chamrajnagar District, Sakleshpur, Bishnupur, Gaganbavda, South 24 Parganas District, Sanjay Gandhi NP, Karnataka, Kottavattom, Sirsi, Chelavara Water Falls, Neendapara, Ratnagiri District, Kodagu District, Bongaon, Maharashtra Nature Park, GKVK, Alipurduar District, West Singhichara, Mankavu, Mumbai City District, Maharashtra, Kozhikode District, Hassan District, J.P. Nagar RF, Dhuna Nala, Mangalore Taluk, Neriamangalam Painavu Road, Palsambe, Kutta, Babupara, Lunglei, Bhagwan Mahaveer WLS, South Goa District, Malibhagom, Karwani, Ernakulam District, Tongkolong WLS, Mara Autonomous District, Malappuram District, Raigad District, Nagaland, Sindhudurg District, Vellore District, Uttara Kannada District, Murud-Janjira Taluka, West Bank to Jolly track, 13th Gate, Thane District, Nilgiri District, Biligiri Rangaswamy Temple WLS, Mumbai Suburban District, North Goa District, Powai, Sangameshwar, Beluvai, Khowai District, Tungareshwar WLS"
Idea agamarschana;"South Andaman District, India, Mount Harriet NP, Andaman and Nicobar Islands"
Idea malabarica;"Kakkavayal, Kakkayam, Shendurney WLS, Collem, South Goa District, Kerala, Tilari Nagar, Makutta, Netravali Village, Netravali WLS, Karnataka, Udupi District, Cotigao WLS, Kudlu Teertha, Sindhudurg District, Tamil Nadu, Idukki District, Kodagu District, Biodiversity Park, Goa, Periyar TR, India, North Goa District, Someshwara WLS, Sanguem, Maharashtra, Mangaladevi, Kozhikode District, Kaavu Estate, Virudhunagar District, Kollam District"
Ideopsis juventa;"Nicobar District, India, Andaman and Nicobar Islands, Govindnagar, Great Nicobar Island"
Ionolyce helicon;"Miao, Lunglei, Kohima, Kerala, Changlang District, Ayyanar Falls, Deban, Lunglei District, Pakke TR, Karnataka, Udupi District, Kudlu Teertha, Khadi (Khari), Nagaland, Tamil Nadu, Kohima District, Namdapha NP, India, Someshwara WLS, Mizoram, Aralam WLS, Kannur  District, East Kameng District, Virudhunagar District, Arunachal Pradesh"
Iraota rochana;"Pakke TR, Alipurduar District, Buxa TR, Khadi (Khari), East Kameng District, Paschimbanga, Arunachal Pradesh, India, Jayanti"
